id,title,description,publishTime,viewCount,likeCount,commentCount
mpZWt5pGKZ8,The Real Way Dinosaurs Went Extinct,SCHOOLS HAVE BEEN LYING TO YOU ALL YOUR LIFE! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR ...,2018-06-28 21:12:01+00:00,24145987,665535,44255.0
r7zJ8srwwjk,I Spent 50 Hours In Solitary Confinement,i borderline went crazy about 30 hours in... New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2020-05-30 20:10:08+00:00,158035371,3103065,106024.0
D9lVNzyhYnc,Surviving 24 Hours Straight In The Bermuda Triangle,THIS IS ONE OF THE CRAZIEST THINGS I'VE EVER DONE! DONATE TO TEAM TREES: https://teamtrees.org/ New Merch ...,2019-11-09 21:00:55+00:00,109672650,2371530,90367.0
f0c7pSCoZqE,"I Put 1,000,000 Christmas Lights On A House (World Record)",Watch until the end to see how insane the houses look Get Honey for FREE today ▸ https://joinhoney.com/mrbeast Honey finds ...,2020-12-23 21:00:06+00:00,54631924,2154926,111003.0
cV2gBU6hKfY,I Cleaned The World’s Dirtiest Beach #TeamSeas,Donated = 1 Pound Of Trash Out Of The Ocean - https://teamseas.org/ HELP US REMOVE 30000000 POUNDS OF TRASH FROM ...,2021-10-29 19:59:43+00:00,52232425,4124984,177383.0
dg2Ag3e8W-Q,I Opened A Restaurant That Pays You To Eat At It,Download our MrBeast Burger App and order food NOW! IOS - https://apps.apple.com/us/app/mrbeast-burger/id1543431762 ...,2020-12-19 22:00:03+00:00,93700173,3520892,726784.0
DuQbOQwVaNE,"Offering People $100,000 To Quit Their Job",Download Finger On The App 2 NOW! - https://beastgames.com/ New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE ...,2021-03-13 21:00:02+00:00,76910234,2573684,118905.0
Ooke4YZv8Ts,Surviving 24 Hours Straight In A Desert,WE WENT TO A DESERT AND SPENT 24 HOURS IN IT New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR ...,2019-03-16 20:05:00+00:00,87455660,1914350,87795.0
L8nh1wuXTbI,"I Gave Him One Hour To Spend $100,000!",THEY HAD ONLY ONE HOUR TO SPEND $100000 IN NEW YORK Download Tik Tok Here ...,2019-01-01 21:05:01+00:00,63794129,1320507,70111.0
RwnN2FVaHmw,"Last to Stop Swinging Wins $1,000,000 (Part 2)",I BET YOU DIDNT EXPECT THAT TO HAPPEN LOL (watch till the end) Get Honey for FREE and start saving money today ...,2019-11-30 21:00:03+00:00,58561797,1356984,80269.0
tQ4m4zD7BBA,"Last To Fall Wins $1,000,000 (Part 1)",BUY MY MERCH!! - https://shopmrbeast.com/ FOLLOW MY INSTAGRAM!! - https://www.instagram.com/mrbeast SUBSCRIBE OR ...,2019-11-14 21:00:31+00:00,83518203,1999824,52828.0
bs0SWXbty18,"Spending $1,000,000 In 24 Hours",watch till the end you wont believe everything he bought.... Get Honey for FREE and save on your holiday gifts ...,2019-12-21 21:00:01+00:00,100462973,3027377,121334.0
2eFSU7TFOnk,Spending 24 Hours On Top Of A Mountain,"WE HAD LIKE NO OXYGEN UP HERE, IT WAS CRAZY! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR ...",2019-06-13 20:00:01+00:00,101529974,2310339,107381.0
F4Y3Pkn95GI,"I Ate A $70,000 Golden Pizza",I cant believe we actually did this... Please vote and help me win a Kids Choice Award (I'm on page 20) https://kca.nick.tv/vote/ ...,2020-02-29 21:00:22+00:00,126897998,2841871,104312.0
lBYC4_Lccjw,Surviving 24 Hours On A Deserted Island,"This was Insane, I Can't Believe We Did This! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...",2019-08-22 20:00:07+00:00,106847485,2234290,74112.0
XaxhLbxZ13k,Last To Take Hand Off House Keeps It!,YOU WON'T BELIEVE WHO WON THE NEW HOUSE LOL New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR ...,2019-01-08 21:05:00+00:00,57329591,1097144,43990.0
HPJKxAhLw5I,"Planting 20,000,000 Trees, My Biggest Project Ever!",HELP US ACHIEVE OUR GOAL OF PLANTING 20000000 TREES! PLEASE DONATE ! - https://teamtrees.org/ #teamtrees ...,2019-10-25 19:01:01+00:00,64589539,3612311,165153.0
